whisper_model,Filename,Average NUBIA Score
base,Llama3-8B-Q8_0,0.21708923706081518
base,phi-3-Q4_K_M,0.3220278249099824
base,gemma2_Q4_K_M,0.20696186792422136
base,phi-3-Q8_0,0.3364416629485987
base,Llama-32-3B,0.2075476271057113
base,Llama3-8B-Q2_k,0.17448166467668813
base,Llama-32-3B_Q8_0,0.2567787999599277
base,bitnet_b1_58_large,0.21270951721522535
base,Llama-32-3B_Q4_K_M,0.23887587308022765
base,gemma2_Q8_0,0.24118784934120016
base,phi-3-Q2_k,0.1819700676617517
base,Llama3-8B-Q4_K_M,0.2903429190788066
base,Llama3-8B,0.2309119902886491
base,Llama-32-1B,0.21089266019763073
base,gemma2,0.22331098478562142
base,gemma2_Q2_K,0.22985549319616702
base,Llama-32-1B_Q8_0,0.22633294484277708
base,Llama-32-3B_Q2_K,0.21289568945265275
base,phi-3,0.3245182222390468
base,llama3_8B,0.28763893772343635
base,Llama-32-1B_Q2_K,0.2422654854400277
base,Llama-32-1B_Q4_K_M,0.25985277538595714
small,phi-3-Q4_K_M,0.3626256308252338
small,phi-3-Q2_k,0.2990722737043338
small,llama3_8B,0.35823908009842703
small,Llama-32-1B_Q8_0,0.22832041167672928
small,Llama-32-3B,0.2707426506739803
small,gemma2_Q4_K_M,0.22740182778139167
small,bitnet_b1_58_large,0.18582814567477554
small,phi-3-Q8_0,0.40470282036504546
small,Llama-32-3B_Q2_K,0.23158891637034856
small,phi-3,0.43018936080793907
small,Llama-32-1B_Q2_K,0.23344428111836601
small,Llama3-8B-Q2_k,0.22375481477040318
small,gemma2_Q8_0,0.20011043440968923
small,Llama3-8B-Q8_0,0.2876526249281681
small,Llama-32-1B,0.2511589672817687
small,Llama-32-3B_Q4_K_M,0.26580910450198847
small,Llama3-8B-Q4_K_M,0.25309066850171397
small,gemma2_Q2_K,0.20385013853220557
small,Llama3-8B,0.2650604533947735
small,Llama-32-3B_Q8_0,0.23576534149128606
small,gemma2,0.2377405437077206
small,Llama-32-1B_Q4_K_M,0.2806215988531307
tiny,Llama-32-3B,0.22900007523752658
tiny,phi-3-Q2_k,0.2214432029933079
tiny,Llama3-8B-Q2_k,0.16454112480929997
tiny,Llama-32-1B,0.23702143988694768
tiny,Llama-32-1B_Q2_K,0.25917875084671144
tiny,phi-3-Q8_0,0.29282054981864014
tiny,gemma2,0.18203569891122914
tiny,phi-3,0.2720407906067145
tiny,Llama-32-3B_Q8_0,0.23517930024971265
tiny,Llama-32-1B_Q4_K_M,0.19125206377613974
tiny,Llama-32-1B_Q8_0,0.20216280519563543
tiny,llama3_8B,0.28580664806957473
tiny,Llama3-8B-Q4_K_M,0.2366800104441763
tiny,Llama-32-3B_Q2_K,0.22993403828422648
tiny,bitnet_b1_58_large,0.16807759131221697
tiny,Llama3-8B-Q8_0,0.23113857568757382
tiny,phi-3-Q4_K_M,0.27195006679075856
tiny,gemma2_Q4_K_M,0.2207935530685144
tiny,Llama-32-3B_Q4_K_M,0.2267645271815604
tiny,Llama3-8B,0.27006675819293413
tiny,gemma2_Q8_0,0.204987995716402
tiny,gemma2_Q2_K,0.18574352425474952
medium,Llama-32-3B_Q4_K_M,0.3057394933114841
medium,gemma2_Q4_K_M,0.23142896060877313
medium,Llama-32-1B_Q4_K_M,0.2957076554128988
medium,Llama3-8B-Q4_K_M,0.2619384258764881
medium,phi-3-Q4_K_M,0.41788312716464415
medium,Llama-32-1B_Q8_0,0.3026840487956018
medium,Llama-32-3B_Q8_0,0.29575045743354744
medium,phi-3-Q2_k,0.21148029879280408
medium,Llama-32-3B_Q2_K,0.23348689586080656
medium,gemma2,0.26858999077749474
medium,bitnet_b1_58_large,0.3214649384850273
medium,llama3_8B,0.4120275984161563
medium,gemma2_Q8_0,0.26585682635155083
medium,gemma2_Q2_K,0.24622301527584273
medium,Llama3-8B-Q2_k,0.17683153409631086
medium,Llama-32-3B,0.274121037380902
medium,Llama3-8B,0.23865425195648113
medium,Llama3-8B-Q8_0,0.3009615491804591
medium,phi-3-Q8_0,0.37599673760002994
medium,phi-3,0.4080324630053413
medium,Llama-32-1B_Q2_K,0.25771368228084707
medium,Llama-32-1B,0.28210722513796194
