whisper_model,Filename,Average NUBIA Score
base,Llama-32-1B_Q2_K,0.2542241385361703
base,Llama-32-1B_Q8_0,0.21536658030071198
base,phi-3-Q8_0,0.2694102770925554
base,Llama3-8B,0.2079198855716257
base,phi-3-Q2_k,0.2421080094344003
base,Llama-32-3B_Q8_0,0.20956741343125918
base,gemma2_Q8_0,0.19470010730441345
base,bitnet_b1_58_large,0.14466105648518468
base,phi-3,0.23601518469557933
base,Llama3-8B-Q2_k,0.1879543733023408
base,gemma2_Q2_K,0.20675578165900851
base,phi-3-Q4_K_M,0.285146064133707
base,Llama3-8B-Q4_K_M,0.21856901527403422
base,gemma2_Q4_K_M,0.218928490676445
base,Llama-32-3B,0.21338467389548332
base,Llama3-8B-Q8_0,0.23317775932185805
base,llama3_8B,0.30529166089857795
base,Llama-32-1B_Q4_K_M,0.1981131874157493
base,Llama-32-3B_Q2_K,0.18141527481810826
base,Llama-32-1B,0.19499580755476523
base,Llama-32-3B_Q4_K_M,0.21792516962109876
base,gemma2,0.1912820202543269
small,phi-3-Q4_K_M,0.33182643224524944
small,llama3_8B,0.32652666746520714
small,phi-3,0.3399991103657522
small,phi-3-Q2_k,0.19880061290862566
small,Llama-32-3B_Q4_K_M,0.2944969354257874
small,Llama3-8B-Q8_0,0.2984994675511063
small,phi-3-Q8_0,0.31666018406366
small,Llama-32-1B_Q2_K,0.23919438643001587
small,Llama-32-1B_Q4_K_M,0.23820963912699536
small,gemma2,0.23037036183734141
small,gemma2_Q8_0,0.20684623753492173
small,Llama3-8B,0.2878902500339618
small,Llama-32-3B,0.24615583440186023
small,gemma2_Q2_K,0.16868182356425826
small,Llama-32-1B_Q8_0,0.20356565460154036
small,Llama-32-3B_Q8_0,0.19688592485090567
small,Llama-32-1B,0.2095068663065676
small,Llama3-8B-Q4_K_M,0.2824893317171243
small,Llama-32-3B_Q2_K,0.22314905807347246
small,Llama3-8B-Q2_k,0.1820175115663336
small,gemma2_Q4_K_M,0.28342128389470994
small,bitnet_b1_58_large,0.2079662640815836
tiny,phi-3,0.22429478416873452
tiny,phi-3-Q2_k,0.22434451971463681
tiny,Llama-32-3B_Q8_0,0.21010825125913507
tiny,gemma2,0.17344917234686236
tiny,gemma2_Q2_K,0.2395174116596642
tiny,phi-3-Q4_K_M,0.21340562359374968
tiny,Llama3-8B-Q4_K_M,0.16843931334757917
tiny,gemma2_Q8_0,0.20029866044617683
tiny,Llama-32-3B_Q4_K_M,0.20537079548880652
tiny,Llama-32-3B_Q2_K,0.17857530214859416
tiny,Llama3-8B-Q2_k,0.16432192442178495
tiny,Llama-32-1B_Q4_K_M,0.18550374863921995
tiny,Llama3-8B,0.16622006260445657
tiny,Llama3-8B-Q8_0,0.21720961104536152
tiny,Llama-32-3B,0.22006463794834813
tiny,bitnet_b1_58_large,0.10124769558871648
tiny,llama3_8B,0.2177269822100031
tiny,gemma2_Q4_K_M,0.18263934529132125
tiny,Llama-32-1B_Q8_0,0.16585153465755162
tiny,Llama-32-1B_Q2_K,0.24190155512882022
tiny,Llama-32-1B,0.20226715421591834
tiny,phi-3-Q8_0,0.19386539844106757
medium,gemma2_Q8_0,0.2134714730773427
medium,Llama-32-1B_Q2_K,0.2384274772901614
medium,Llama-32-1B,0.25696047479974676
medium,Llama-32-3B_Q4_K_M,0.28628698427052035
medium,gemma2_Q2_K,0.2299927008183835
medium,Llama3-8B-Q8_0,0.29803272696495414
medium,Llama-32-3B_Q8_0,0.2672951725817977
medium,phi-3-Q8_0,0.37568624884328905
medium,gemma2_Q4_K_M,0.2271861107314552
medium,Llama-32-1B_Q8_0,0.2831150428599027
medium,Llama3-8B-Q2_k,0.29421596420970025
medium,phi-3-Q4_K_M,0.38443582787784586
medium,Llama3-8B,0.27512645583136247
medium,llama3_8B,0.34640738972633606
medium,phi-3-Q2_k,0.14757419221983004
medium,phi-3,0.3588328850026684
medium,gemma2,0.2848171466974901
medium,Llama3-8B-Q4_K_M,0.28134762612088865
medium,bitnet_b1_58_large,0.27756587518660136
medium,Llama-32-3B_Q2_K,0.28225919441844766
medium,Llama-32-3B,0.2743805508517869
medium,Llama-32-1B_Q4_K_M,0.20003379469989827
